StreetName,Postcode,BagStreet,CollectionDay,CollectionTimeStart,CollectionTimeEnd,PresentationDayStart,PresentationTimeStart,PresentationDayEnd,PresentationTimeEnd,KeywasteCollectionDay,KeywasteCollectionTimeStart,KeywasteCollectionTimeEnd,KeyWastePresentationDayStart,KeyWastePresentationTimeStart,KeywastePresentationDayEnd,KeywastePresentationTimeEnd,,,,,,,,,,
Montague Street,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,4:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",4:00,Friday,17:30,19:00,Friday,17:50,Friday,19:00,,,,,,,,,,
New Bride Street,8,,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,Monday,17:30,19:00,Monday,17:30,Monday,19:00,,,,,,,,,,
New Street Gardens,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
New Street South,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Oakfield Place,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Old Mill Court,8,Y,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Orr's Terrace,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Ovoca Road,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Pleasants Lane,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Pleasants Place,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
Pleasants Street,8,,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Portobello Bridge,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Portobello Harbour,2,Y,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Portobello Place,8,,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",19:00,0:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",17:00,"[Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday]",0:00,,,,,,,,,,,,,,,,,
Portobello Road,8,,Tuesday,6:00,21:00,Monday,18:00,Tuesday,21:00,,,,,,,,,,,,,,,,,
